    30 K2 -7.8857397691933784e-004  6.5287692412685505e-004 
    31 K2 -4.9497474683055098e-004  4.9497474683085629e-004 
    32 K2 -6.4671567275784159e-004  2.6787840265585228e-004 
    33 K2 -9.9662851926494989e-004  3.4130205827387350e-004 
    34 K2 -1.0751366758081499e-003  6.7308753961187184e-004 
    35 K2 -1.2478258671472509e-003  3.2534865791386536e-004 
    36 K2 -1.4782072520180406e-003  6.1229349178387737e-004 
    37 K2 -1.5999999999999487e-003 -1.3877787807814457e-016 
    38 K2 -1.0891036260090442e-003 -1.3877787807814457e-016 
    39 K2 -1.1313708498984498e-003 -1.1313708498981445e-003 
    40 K2 -1.0447997793307379e-003 -6.1094521676513525e-004 
    41 K2 -1.4782072520180406e-003 -6.1229349178412718e-004 
    42 K2 -6.9235293674783926e-004 -7.9291907911713255e-004 
    43 K2 -7.6757559164714051e-004 -4.9917506785912558e-004 
    44 K2 -4.9497474683055098e-004 -4.9497474683013465e-004 
    45 K2 -9.2417115554745133e-004 -2.8693842790514235e-004 
    46 K2 -6.4671567275784159e-004 -2.6787840265513063e-004 
    47 K2 -6.9999999999995066e-004 -1.3877787807814457e-016 
    48 K2 -1.2304751965823424e-003 -3.0336527240212852e-004 
    49 K2 -7.1867094756684902e-004 -1.1180473132421376e-003 
    50 K2 -6.1229349178414105e-004 -1.4782072520181377e-003 
    51 K2 -4.2114402981564825e-004 -1.0491309722861220e-003 
    52 K2 -2.6787840265554697e-004 -6.4671567275814690e-004 
    53 K2  5.5511151231257827e-017 -7.0000000000014495e-004 
    54 K2 -5.7600146063443991e-005 -9.8407011908513420e-004 
    55 K2 -1.7432702386034615e-004 -1.2680606153801233e-003 
    56 K2  5.5511151231257827e-017 -1.6000000000001291e-003 
    57 K2  7.3507261153225867e-004 -8.5490342273714104e-004 
    58 K2  6.0753142486286160e-004 -1.1257972649491299e-003 
    59 K2  6.1229349178415493e-004 -1.4782072520181377e-003 
    60 K2  3.2864517876406152e-004 -9.1648427347013062e-004 
    61 K2  2.1942100277605459e-004 -1.2287928342001320e-003 
    62 K2  5.0938320918055002e-004 -7.0513297884913784e-004 
    63 K2  2.6787840265556084e-004 -6.4671567275814690e-004 
    64 K2  4.9497474683066200e-004 -4.9497474683013465e-004 
    65 K2  7.1890635062585306e-004 -6.1213934853013297e-004 
    66 K2  8.1823727801286217e-004 -4.0475367971412601e-004 
    67 K2 -8.8053911940765006e-004  1.5057248137487211e-004 
    68 K2  8.2141055942985819e-004  4.2969521616686990e-004 
    69 K2  6.4671567275795261e-004  2.6787840265585228e-004 
    70 K2  7.0000000000006168e-004 -1.3877787807814457e-016 
    71 K2  8.4889956210135176e-004 -1.6904365117112463e-004 
    72 K2  6.4671567275795261e-004 -2.6787840265513063e-004 
} 
{ NODE .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
    73 
     0 S      0 
     1 S      1 
     2 S      2 
     3 S      3 
     4 S      4 
     5 S      5 
     6 S      6 
     7 S      7 
     8 S      8 
     9 S      9 
    10 S     10 
    11 S     11 
    12 S     12 
    13 S     13 
    14 S     14 
    15 S     15 
    16 S     16 
    17 S     17 
    18 S     18 
    19 S     19 
    20 S     20 
    21 S     21 
    22 S     22 
    23 S     23 
    24 S     24 
    25 S     25 
    26 S     26 
    27 S     27 
    28 S     28 
    29 S     29 
    30 S     30 
    31 S     31 
    32 S     32 
    33 S     33 
    34 S     34 
    35 S     35 
    36 S     36 
    37 S     37 
    38 S     38 
    39 S     39 
    40 S     40 
    41 S     41 
    42 S     42 
    43 S     43 
    44 S     44 
    45 S     45 
    46 S     46 
    47 S     47 
    48 S     48 
    49 S     49 
    50 S     50 
    51 S     51 
    52 S     52 
    53 S     53 
    54 S     54 
    55 S     55 
    56 S     56 
    57 S     57 
    58 S     58 
    59 S     59 
    60 S     60 
    61 S     61 
    62 S     62 
    63 S     63 
    64 S     64 
    65 S     65 
    66 S     66 
    67 S     67 
    68 S     68 
    69 S     69 
    70 S     70 
    71 S     71 
    72 S     72 
} 
{ EDGE .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
   187 
     0 S      1      2 
     1 S      0      2 
     2 S      0      1 
     3 S      2      3 
     4 S      1      3 
     5 S      2      4 
     6 S      0      4 
     7 S      5      4 
     8 S      5      0 
     9 S      6      4 
    10 S      2      6 
    11 S      6      7 
    12 S      2      7 
    13 S      8      7 
    14 S      6      8 
    15 S      9      4 
    16 S      6      9 
    17 S     10      4 
    18 S      5     10 
    19 S     10      9 
    20 S     11      9 
    21 S     11     10 
    22 S     12     10 
    23 S     12     11 
    24 S      7     13 
    25 S      2     13 
    26 S     14     13 
    27 S      7     14 
    28 S      3     13 
    29 S      3     14 
    30 S     15     14 
    31 S      3     15 
    32 S     17     18 
    33 S     16     18 
    34 S     16     17 
    35 S     19     18 
    36 S     17     19 
    37 S     20     18 
    38 S     20     19 
    39 S     16     20 
    40 S     20     15 
    41 S     16     15 
    42 S     16     14 
    43 S     20      3 
    44 S     19     21 
    45 S     17     21 
    46 S     22     21 
    47 S     17     22 
    48 S     23     21 
    49 S     23     22 
    50 S     22     24 
    51 S     23     24 
    52 S     21     25 
    53 S     23     25 
    54 S     19     25 
    55 S      8     26 
    56 S      6     26 
    57 S     27     26 
    58 S     27      8 
    59 S      9     26 
    60 S     11     26 
    61 S     11     27 
    62 S     27     28 
    63 S     11     28 
    64 S     29     28 
    65 S     27     29 
    66 S     30     28 
    67 S     11     30 
    68 S     31     30 
    69 S     31     11 
    70 S     32     30 
    71 S     31     32 
    72 S     30     33 
    73 S     32     33 
    74 S     33     34 
    75 S     30     34 
    76 S     34     35 
    77 S     33     35 
    78 S     36     35 
    79 S     36     34 
    80 S     37     35 
    81 S     36     37 
    82 S     29     34 
    83 S     36     29 
    84 S     38     35 
    85 S     38     37 
    86 S     40     41 
    87 S     39     41 
    88 S     39     40 
    89 S     42     40 
    90 S     42     39 
    91 S     40     43 
    92 S     42     43 
    93 S     44     43 
    94 S     44     42 
    95 S     45     43 
    96 S     45     40 
    97 S     46     43 
    98 S     46     45 
    99 S     47     45 
   100 S     46     47 
   101 S     45     38 
   102 S     47     38 
   103 S     41     48 
   104 S     40     48 
   105 S     37     48 
   106 S     41     37 
   107 S     45     48 
   108 S     38     48 
   109 S     33     38 
   110 S     39     49 
   111 S     42     49 
   112 S     50     49 
   113 S     39     50 
   114 S     51     49 
   115 S     42     51 
   116 S     52     51 
   117 S     52     42 
   118 S     52     54 
   119 S     53     54 
   120 S     53     52 
   121 S     54     51 
   122 S     51     55 
   123 S     54     55 
   124 S     50     55 
   125 S     51     50 
   126 S     56     55 
   127 S     56     50 
   128 S     34     28 
   129 S     24     57 
   130 S     23     57 
   131 S     57     58 
   132 S     24     58 
   133 S     59     58 
   134 S     59     24 
   135 S     60     58 
   136 S     60     57 
   137 S     61     58 
   138 S     59     61 
   139 S     56     61 
   140 S     59     56 
   141 S     60     61 
   142 S     57     62 
   143 S     60     62 
   144 S     63     62 
   145 S     63     60 
   146 S     64     62 
   147 S     63     64 
   148 S     53     60 
   149 S     53     63 
   150 S     62     65 
   151 S     57     65 
   152 S     64     65 
   153 S     23     65 
   154 S     65     66 
   155 S     64     66 
   156 S     25     66 
   157 S     23     66 
   158 S     38     67 
   159 S     47     67 
   160 S     33     67 
   161 S     19     68 
   162 S     20     68 
   163 S     69     68 
   164 S     69     19 
   165 S      1     68 
   166 S     69      1 
   167 S     70     19 
   168 S     70     69 
   169 S      3     68 
   170 S     32     67 
   171 S     32     47 
   172 S      5     12 
   173 S     44     52 
   174 S     12     31 
   175 S     19     71 
   176 S     70     71 
   177 S     72     71 
   178 S     72     70 
   179 S     72     66 
   180 S     72     64 
   181 S     66     71 
   182 S     25     71 
   183 S     54     61 
   184 S     54     60 
   185 S     61     55 
   186 S     44     46 
} 
{ FACE .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
   114 
     0 T      0      1      2 
     1 T      3      4      0 
     2 T      5      6      1 
     3 T      6      7      8 
     4 T      9      5     10 
     5 T     11     12     10 
     6 T     13     11     14 
     7 T     15      9     16 
     8 T     17      7     18 
     9 T     15     17     19 
    10 T     19     20     21 
    11 T     21     22     23 
    12 T     24     25     12 
    13 T     26     24     27 
    14 T     26     28     29 
    15 T     30     29     31 
    16 T     32     33     34 
    17 T     35     32     36 
    18 T     35     37     38 
    19 T     37     33     39 
    20 T     40     41     39 
    21 T     30     42     41 
    22 T     31     40     43 
    23 T     44     45     36 
    24 T     46     45     47 
    25 T     46     48     49 
    26 T     50     51     49 
    27 T     52     53     48 
    28 T     52     54     44 
    29 T     28     25      3 
    30 T     55     56     14 
    31 T     55     57     58 
    32 T     59     56     16 
    33 T     57     60     61 
    34 T     59     60     20 
    35 T     62     63     61 
    36 T     64     62     65 
    37 T     66     63     67 
    38 T     67     68     69 
    39 T     70     68     71 
    40 T     72     73     70 
    41 T     74     75     72 
    42 T     76     77     74 
    43 T     76     78     79 
    44 T     80     78     81 
    45 T     82     79     83 
    46 T     80     84     85 
    47 T     86     87     88 
    48 T     88     89     90 
    49 T     91     92     89 
    50 T     92     93     94 
    51 T     91     95     96 
    52 T     95     97     98 
    53 T     99     98    100 
    54 T    101    102     99 
    55 T    103    104     86 
    56 T    105    103    106 
    57 T    104    107     96 
    58 T    105    108     85 
    59 T     84     77    109 
    60 T    108    107    101 
    61 T    110    111     90 
    62 T    112    110    113 
    63 T    114    111    115 
    64 T    115    116    117 
    65 T    118    119    120 
    66 T    121    116    118 
    67 T    122    123    121 
    68 T    124    122    125 
    69 T    124    126    127 
    70 T    112    114    125 
    71 T    128     64     82 
    72 T    128     66     75 
    73 T    129    130     51 
    74 T    131    132    129 
    75 T    132    133    134 
    76 T    131    135    136 
    77 T    137    133    138 
    78 T    139    138    140 
    79 T    137    135    141 
    80 T    142    143    136 
    81 T    143    144    145 
    82 T    146    144    147 
    83 T    145    148    149 
    84 T    150    151    142 
    85 T    150    152    146 
    86 T    151    153    130 
    87 T    154    155    152 
    88 T    156    157     53 
    89 T    154    157    153 
    90 T    158    159    102 
    91 T    158    160    109 
    92 T    161    162     38 
    93 T    161    163    164 
    94 T    165    163    166 
    95 T    164    167    168 
    96 T    169    162     43 
    97 T    169    165      4 
    98 T    159    170    171 
    99 T     22     18    172 
   100 T    117     94    173 
   101 T     69     23    174 
   102 T    160    170     73 
   103 T    175    176    167 
   104 T    176    177    178 
   105 T    155    179    180 
   106 T    181    177    179 
   107 T    182    175     54 
   108 T    181    182    156 
   109 T    141    183    184 
   110 T    184    148    119 
   111 T    185    126    139 
   112 T    185    123    183 
   113 T     97     93    186 
} 
{ POLY_EDGES .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
     4 
     0 S COAX_PIN_4_2 { AI 16    149    120    173    186    147    180    178    168 
   166      2      8    172    174     71    171    100 
} 
     1 S Coaxes { AI 16     34     42     47     50     27     13     58     65 
    83     81     87    106    113    127    134    140 
} 
     2 S WavePort13 { AI 16    149    120    173    186    147    180    178    168 
   166      2      8    172    174     71    171    100 
} 
     3 S sP_COAX_PIN_4_2 { AI 2    102     85 } 
} 
{ POLY_FACES .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
     1 
     0 S COAX_4_2 { AI 114      0      1      2      3      4      5      6      7 
     8      9     10     11     12     13     14     15 
    16     17     18     19     20     21     22     23 
    24     25     26     27     28     29     30     31 
    32     33     34     35     36     37     38     39 
    40     41     42     43     44     45     46     47 
    48     49     50     51     52     53     54     55 
    56     57     58     59     60     61     62     63 
    64     65     66     67     68     69     70     71 
    72     73     74     75     76     77     78     79 
    80     81     82     83     84     85     86     87 
    88     89     90     91     92     93     94     95 
    96     97     98     99    100    101    102    103 
   104    105    106    107    108    109    110    111 
   112    113 } 
} 
{ MESH .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
     6 
Positions .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
Nodes .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
Edges .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
Faces .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
PolyEdges .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
PolyFaces .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
} 
{ CARRIER .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
   374 
     0 N      0 EV_APV { AI 1      9 } { AI 1     14 } 
     1 N      1 EV_APV { AI 1     10 } { AI 1     15 } 
     2 N      2 EV_APV { AI 1     11 } { AI 1     16 } 
     3 N      3 EV_APV { AI 1     23 } { AI 1     26 } 
     4 N      4 EV_APV { AI 1     33 } { AI 1     36 } 
     5 N      5 EV_APV { AI 1     43 } { AI 1     46 } 
     6 N      6 EV_APV { AI 1     53 } { AI 1     56 } 
     7 N      7 EV_APV { AI 1     63 } { AI 1     66 } 
     8 N      8 EV_APV { AI 1     73 } { AI 1     76 } 
     9 N      9 EV_APV { AI 1     83 } { AI 1     86 } 
    10 N     10 EV_APV { AI 1     93 } { AI 1     96 } 
    11 N     11 EV_APV { AI 1    108 } { AI 1    111 } 
    12 N     12 EV_APV { AI 1    118 } { AI 1    121 } 
    13 N     13 EV_APV { AI 1    128 } { AI 1    131 } 
    14 N     14 EV_APV { AI 1    138 } { AI 1    141 } 
    15 N     15 EV_APV { AI 1    156 } { AI 1    159 } 
    16 N     16 EV_APV { AI 1    169 } { AI 1    174 } 
    17 N     17 EV_APV { AI 1    170 } { AI 1    175 } 
    18 N     18 EV_APV { AI 1    171 } { AI 1    176 } 
    19 N     19 EV_APV { AI 1    183 } { AI 1    186 } 
    20 N     20 EV_APV { AI 1    193 } { AI 1    196 } 
    21 N     21 EV_APV { AI 1    226 } { AI 1    229 } 
    22 N     22 EV_APV { AI 1    236 } { AI 1    239 } 
    23 N     23 EV_APV { AI 1    246 } { AI 1    249 } 
    24 N     24 EV_APV { AI 1    256 } { AI 1    259 } 
    25 N     25 EV_APV { AI 1    266 } { AI 1    269 } 
    26 N     26 EV_APV { AI 1    283 } { AI 1    286 } 
    27 N     27 EV_APV { AI 1    293 } { AI 1    296 } 
    28 N     28 EV_APV { AI 1    318 } { AI 1    321 } 
    29 N     29 EV_APV { AI 1    328 } { AI 1    331 } 
    30 N     30 EV_APV { AI 1    338 } { AI 1    341 } 
    31 N     31 EV_APV { AI 1    348 } { AI 1    351 } 
    32 N     32 EV_APV { AI 1    358 } { AI 1    361 } 
    33 N     33 EV_APV { AI 1    368 } { AI 1    371 } 
    34 N     34 EV_APV { AI 1    378 } { AI 1    381 } 
    35 N     35 EV_APV { AI 1    388 } { AI 1    391 } 
    36 N     36 EV_APV { AI 1    398 } { AI 1    401 } 
    37 N     37 EV_APV { AI 1    408 } { AI 1    411 } 
    38 N     38 EV_APV { AI 1    426 } { AI 1    429 } 
    39 N     39 EV_APV { AI 1    439 } { AI 1    444 } 
    40 N     40 EV_APV { AI 1    440 } { AI 1    445 } 
    41 N     41 EV_APV { AI 1    441 } { AI 1    446 } 
    42 N     42 EV_APV { AI 1    453 } { AI 1    456 } 
    43 N     43 EV_APV { AI 1    463 } { AI 1    466 } 
    44 N     44 EV_APV { AI 1    473 } { AI 1    476 } 
    45 N     45 EV_APV { AI 1    483 } { AI 1    486 } 
    46 N     46 EV_APV { AI 1    493 } { AI 1    496 } 
    47 N     47 EV_APV { AI 1    503 } { AI 1    506 } 
    48 N     48 EV_APV { AI 1    521 } { AI 1    524 } 
    49 N     49 EV_APV { AI 1    556 } { AI 1    559 } 
    50 N     50 EV_APV { AI 1    566 } { AI 1    569 } 
    51 N     51 EV_APV { AI 1    576 } { AI 1    579 } 
    52 N     52 EV_APV { AI 1    586 } { AI 1    589 } 
    53 N     53 EV_APV { AI 1    599 } { AI 1    603 } 
    54 N     54 EV_APV { AI 1    600 } { AI 1    604 } 
    55 N     55 EV_APV { AI 1    616 } { AI 1    619 } 
    56 N     56 EV_APV { AI 1    634 } { AI 1    637 } 
    57 N     57 EV_APV { AI 1    653 } { AI 1    656 } 
    58 N     58 EV_APV { AI 1    663 } { AI 1    666 } 
    59 N     59 EV_APV { AI 1    673 } { AI 1    676 } 
    60 N     60 EV_APV { AI 1    683 } { AI 1    686 } 
    61 N     61 EV_APV { AI 1    693 } { AI 1    696 } 
    62 N     62 EV_APV { AI 1    716 } { AI 1    719 } 
    63 N     63 EV_APV { AI 1    726 } { AI 1    729 } 
    64 N     64 EV_APV { AI 1    736 } { AI 1    739 } 
    65 N     65 EV_APV { AI 1    754 } { AI 1    757 } 
    66 N     66 EV_APV { AI 1    774 } { AI 1    777 } 
    67 N     67 EV_APV { AI 1    794 } { AI 1    797 } 
    68 N     68 EV_APV { AI 1    809 } { AI 1    812 } 
    69 N     69 EV_APV { AI 1    819 } { AI 1    822 } 
    70 N     70 EV_APV { AI 1    837 } { AI 1    840 } 
    71 N     71 EV_APV { AI 1    879 } { AI 1    882 } 
    72 N     72 EV_APV { AI 1    889 } { AI 1    892 } 
    73 L      0 EV_APV { AI 2      0      1 } { AI 1      2 } 
    74 L      1 EV_APV { AI 2      3      4 } { AI 1      5 } 
    75 L      2 EV_APV { AI 2      6      7 } { AI 1      8 } 
    76 L      3 EV_APV { AI 2     17     18 } { AI 1     19 } 
    77 L      4 EV_APV { AI 2     20     21 } { AI 1     22 } 
    78 L      5 EV_APV { AI 2     27     28 } { AI 1     29 } 
    79 L      6 EV_APV { AI 2     30     31 } { AI 1     32 } 
    80 L      7 EV_APV { AI 2     37     38 } { AI 1     39 } 
    81 L      8 EV_APV { AI 2     40     41 } { AI 1     42 } 
    82 L      9 EV_APV { AI 2     47     48 } { AI 1     49 } 
    83 L     10 EV_APV { AI 2     50     51 } { AI 1     52 } 
    84 L     11 EV_APV { AI 2     57     58 } { AI 1     59 } 
    85 L     12 EV_APV { AI 2     60     61 } { AI 1     62 } 
    86 L     13 EV_APV { AI 2     67     68 } { AI 1     69 } 
    87 L     14 EV_APV { AI 2     70     71 } { AI 1     72 } 
    88 L     15 EV_APV { AI 2     77     78 } { AI 1     79 } 
    89 L     16 EV_APV { AI 2     80     81 } { AI 1     82 } 
    90 L     17 EV_APV { AI 2     87     88 } { AI 1     89 } 
    91 L     18 EV_APV { AI 2     90     91 } { AI 1     92 } 
    92 L     19 EV_APV { AI 2     97     98 } { AI 1     99 } 
    93 L     20 EV_APV { AI 2    102    103 } { AI 1    104 } 
    94 L     21 EV_APV { AI 2    105    106 } { AI 1    107 } 
    95 L     22 EV_APV { AI 2    112    113 } { AI 1    114 } 
    96 L     23 EV_APV { AI 2    115    116 } { AI 1    117 } 
    97 L     24 EV_APV { AI 2    122    123 } { AI 1    124 } 
    98 L     25 EV_APV { AI 2    125    126 } { AI 1    127 } 
    99 L     26 EV_APV { AI 2    132    133 } { AI 1    134 } 
   100 L     27 EV_APV { AI 2    135    136 } { AI 1    137 } 
   101 L     28 EV_APV { AI 2    142    143 } { AI 1    144 } 
   102 L     29 EV_APV { AI 2    145    146 } { AI 1    147 } 
   103 L     30 EV_APV { AI 2    150    151 } { AI 1    152 } 
   104 L     31 EV_APV { AI 2    153    154 } { AI 1    155 } 
   105 L     32 EV_APV { AI 2    160    161 } { AI 1    162 } 
   106 L     33 EV_APV { AI 2    163    164 } { AI 1    165 } 
   107 L     34 EV_APV { AI 2    166    167 } { AI 1    168 } 
   108 L     35 EV_APV { AI 2    177    178 } { AI 1    179 } 
   109 L     36 EV_APV { AI 2    180    181 } { AI 1    182 } 
   110 L     37 EV_APV { AI 2    187    188 } { AI 1    189 } 
   111 L     38 EV_APV { AI 2    190    191 } { AI 1    192 } 
   112 L     39 EV_APV { AI 2    197    198 } { AI 1    199 } 
   113 L     40 EV_APV { AI 2    202    203 } { AI 1    204 } 
   114 L     41 EV_APV { AI 2    205    206 } { AI 1    207 } 
   115 L     42 EV_APV { AI 2    210    211 } { AI 1    212 } 
   116 L     43 EV_APV { AI 2    215    216 } { AI 1    217 } 
   117 L     44 EV_APV { AI 2    220    221 } { AI 1    222 } 
   118 L     45 EV_APV { AI 2    223    224 } { AI 1    225 } 
   119 L     46 EV_APV { AI 2    230    231 } { AI 1    232 } 
   120 L     47 EV_APV { AI 2    233    234 } { AI 1    235 } 
   121 L     48 EV_APV { AI 2    240    241 } { AI 1    242 } 
   122 L     49 EV_APV { AI 2    243    244 } { AI 1    245 } 
   123 L     50 EV_APV { AI 2    250    251 } { AI 1    252 } 
   124 L     51 EV_APV { AI 2    253    254 } { AI 1    255 } 
   125 L     52 EV_APV { AI 2    260    261 } { AI 1    262 } 
   126 L     53 EV_APV { AI 2    263    264 } { AI 1    265 } 
   127 L     54 EV_APV { AI 2    270    271 } { AI 1    272 } 
   128 L     55 EV_APV { AI 2    277    278 } { AI 1    279 } 
   129 L     56 EV_APV { AI 2    280    281 } { AI 1    282 } 
   130 L     57 EV_APV { AI 2    287    288 } { AI 1    289 } 
   131 L     58 EV_APV { AI 2    290    291 } { AI 1    292 } 
   132 L     59 EV_APV { AI 2    297    298 } { AI 1    299 } 
   133 L     60 EV_APV { AI 2    302    303 } { AI 1    304 } 
   134 L     61 EV_APV { AI 2    305    306 } { AI 1    307 } 
   135 L     62 EV_APV { AI 2    312    313 } { AI 1    314 } 
   136 L     63 EV_APV { AI 2    315    316 } { AI 1    317 } 
   137 L     64 EV_APV { AI 2    322    323 } { AI 1    324 } 
   138 L     65 EV_APV { AI 2    325    326 } { AI 1    327 } 
   139 L     66 EV_APV { AI 2    332    333 } { AI 1    334 } 
   140 L     67 EV_APV { AI 2    335    336 } { AI 1    337 } 
   141 L     68 EV_APV { AI 2    342    343 } { AI 1    344 } 
   142 L     69 EV_APV { AI 2    345    346 } { AI 1    347 } 
   143 L     70 EV_APV { AI 2    352    353 } { AI 1    354 } 
   144 L     71 EV_APV { AI 2    355    356 } { AI 1    357 } 
   145 L     72 EV_APV { AI 2    362    363 } { AI 1    364 } 
   146 L     73 EV_APV { AI 2    365    366 } { AI 1    367 } 
   147 L     74 EV_APV { AI 2    372    373 } { AI 1    374 } 
   148 L     75 EV_APV { AI 2    375    376 } { AI 1    377 } 
   149 L     76 EV_APV { AI 2    382    383 } { AI 1    384 } 
   150 L     77 EV_APV { AI 2    385    386 } { AI 1    387 } 
   151 L     78 EV_APV { AI 2    392    393 } { AI 1    394 } 
   152 L     79 EV_APV { AI 2    395    396 } { AI 1    397 } 
   153 L     80 EV_APV { AI 2    402    403 } { AI 1    404 } 
   154 L     81 EV_APV { AI 2    405    406 } { AI 1    407 } 
   155 L     82 EV_APV { AI 2    412    413 } { AI 1    414 } 
   156 L     83 EV_APV { AI 2    415    416 } { AI 1    417 } 
   157 L     84 EV_APV { AI 2    420    421 } { AI 1    422 } 
   158 L     85 EV_APV { AI 2    423    424 } { AI 1    425 } 
   159 L     86 EV_APV { AI 2    430    431 } { AI 1    432 } 
   160 L     87 EV_APV { AI 2    433    434 } { AI 1    435 } 
   161 L     88 EV_APV { AI 2    436    437 } { AI 1    438 } 
   162 L     89 EV_APV { AI 2    447    448 } { AI 1    449 } 
   163 L     90 EV_APV { AI 2    450    451 } { AI 1    452 } 
   164 L     91 EV_APV { AI 2    457    458 } { AI 1    459 } 
   165 L     92 EV_APV { AI 2    460    461 } { AI 1    462 } 
   166 L     93 EV_APV { AI 2    467    468 } { AI 1    469 } 
   167 L     94 EV_APV { AI 2    470    471 } { AI 1    472 } 
   168 L     95 EV_APV { AI 2    477    478 } { AI 1    479 } 
   169 L     96 EV_APV { AI 2    480    481 } { AI 1    482 } 
   170 L     97 EV_APV { AI 2    487    488 } { AI 1    489 } 
   171 L     98 EV_APV { AI 2    490    491 } { AI 1    492 } 
   172 L     99 EV_APV { AI 2    497    498 } { AI 1    499 } 
   173 L    100 EV_APV { AI 2    500    501 } { AI 1    502 } 
   174 L    101 EV_APV { AI 2    507    508 } { AI 1    509 } 
   175 L    102 EV_APV { AI 2    510    511 } { AI 1    512 } 
   176 L    103 EV_APV { AI 2    515    516 } { AI 1    517 } 
   177 L    104 EV_APV { AI 2    518    519 } { AI 1    520 } 
   178 L    105 EV_APV { AI 2    525    526 } { AI 1    527 } 
   179 L    106 EV_APV { AI 2    528    529 } { AI 1    530 } 
   180 L    107 EV_APV { AI 2    533    534 } { AI 1    535 } 
   181 L    108 EV_APV { AI 2    538    539 } { AI 1    540 } 
   182 L    109 EV_APV { AI 2    543    544 } { AI 1    545 } 
   183 L    110 EV_APV { AI 2    550    551 } { AI 1    552 } 
   184 L    111 EV_APV { AI 2    553    554 } { AI 1    555 } 
   185 L    112 EV_APV { AI 2    560    561 } { AI 1    562 } 
   186 L    113 EV_APV { AI 2    563    564 } { AI 1    565 } 
   187 L    114 EV_APV { AI 2    570    571 } { AI 1    572 } 
   188 L    115 EV_APV { AI 2    573    574 } { AI 1    575 } 
   189 L    116 EV_APV { AI 2    580    581 } { AI 1    582 } 
   190 L    117 EV_APV { AI 2    583    584 } { AI 1    585 } 
   191 L    118 EV_APV { AI 2    590    591 } { AI 1    592 } 
   192 L    119 EV_APV { AI 2    593    594 } { AI 1    595 } 
   193 L    120 EV_APV { AI 2    596    597 } { AI 1    598 } 
   194 L    121 EV_APV { AI 2    605    606 } { AI 1    607 } 
   195 L    122 EV_APV { AI 2    610    611 } { AI 1    612 } 
   196 L    123 EV_APV { AI 2    613    614 } { AI 1    615 } 
   197 L    124 EV_APV { AI 2    620    621 } { AI 1    622 } 
   198 L    125 EV_APV { AI 2    623    624 } { AI 1    625 } 
